Type,No.,Address,City,St.,Opened,Closed
Supercenter,1739,"Trinity Point Shopping Center, 30 Trinity Point Drive",Washington,PA,"January 26, 2000",
Supercenter,3633,12751 Washington Township Boulevard,Waynesboro,PA,"May 17, 2006",
Supercenter,5446,405 Murtha Drive,Waynesburg,PA,"March 18, 2009",
Supercenter,4501,134 Daniel Kendall Drive,West Brownsville,PA,"February 1, 2013",
Discount Store,2281,2251 Century Drive,West Mifflin,PA,"January 31, 1995","August 19, 2003"
Supercenter,2281,2351 Century Drive,West Mifflin,PA,"August 20, 2003",
Discount Store,3475,650 South Trooper Road,West Norriton,PA,"September 19, 2001","May 12, 2009"
Supercenter,3475,650 South Trooper Road,West Norriton,PA,"May 13, 2009",
Discount Store,2145,2601 MacArthur Road,Whitehall,PA,"January 31, 1995","October 16, 2012"
Supercenter,2145,2601 MacArthur Road,Whitehall,PA,"October 17, 2012",
Discount Store,1623,445 Wilkes-Barre Township Boulevard,Wilkes-Barre,PA,"January 30, 1992","March 16, 2004"
Supercenter,1623,"Wilkes-Barre Township Marketplace, 2150 Highland Park Boulevard",Wilkes-Barre,PA,"March 17, 2004",
Discount Store,5229,1000 Easton Road,Wyncote,PA,"January 28, 2004",
Discount Store,1670,1135 Berkshire Boulevard,Wyomissing,PA,"September 11, 1991",
Discount Store,1529,2801 East Market Street,York,PA,"September 29, 1990","October 26, 1999"
Supercenter,1529,2801 East Market Street,York,PA,"October 27, 1999",
Discount Store,2205,"West Manchester Town Center, 1000 Town Center Drive",York,PA,"October 26, 1994","July 13, 2004"
Supercenter,2205,"West Manchester Town Center, 1000 Town Center Drive",York,PA,"July 14, 2004",
Amigo,3685,Aguadilla Mall,Aguadilla,PR,"May 1, 2010",2017
Supercenter,2302,Carretera 2 Km. 56.6,Barceloneta,PR,"August 4, 2010",
Discount Store,2501,"Plaza del Sol, 501 Carretera 29",Bayamón,PR,"July 2, 1997",
Amigo,3669,Carretera 174 and Carretera 177,Bayamón,PR,"May 1, 2010","August 26, 2022"
Amigo,3680,Carretera 167 Km 17.6 Bo Pajaros,Bayamón,PR,"May 1, 2010","August 26, 2022"
Supercenter,2449,Rafael Cordero Avenue,Caguas,PR,"January 24, 2006",
Amigo,3678,Centro Comercial Plaza Del Carmen,Caguas,PR,"May 1, 2010",2017
Amigo,3681,Carretera 52 and 156,Caguas,PR,"May 1, 2010","August 26, 2022"
Supercenter,5802,Plaza Canovanas Highway 3 Int New Route 66,Canovanas,PR,"July 30, 2008",
Discount Store,2423,"Parque Escorial, Bo. San Anton Carr. 3",Carolina,PR,"November 1, 1995",2006
Supercenter,2423,"Parque Escorial, Bo. San Anton Carr. 3",Carolina,PR,2006,
Amigo,3667,1 Avenida Monserrate,Carolina,PR,"May 1, 2010","January 28, 2016"
Supercenter,2721,"Plaza Cayey 102, 8000 Avenue Jesus T. Piñero",Cayey,PR,"April 4, 2001",
Super Ahorros,2342,"PR 14, Parque Industrial",Coamo,PR,"May 1, 2010","January 28, 2016"
Amigo,3688,Carretera 891 Km 0.1,Corozal,PR,"May 1, 2010",October 2018
Amigo,3399,Centro Comercial Paseo del Plata,Dorado,PR,"May 1, 2010","August 26, 2022"
Discount Store,1822,150 Carretera 940,Fajardo,PR,"August 4, 1992",
Amigo,3674,Centro Comercial Monte Brisas,Fajardo,PR,"May 1, 2010",January 2011
Amigo,3692,Montesol Shopping Center,Fajardo,PR,"May 1, 2010","August 26, 2022"
Discount Store,2072,Avenida Los Veteranos Km 134.7,Guayama,PR,"November 23, 1993",
Amigo,3691,La Fuente Shopping Center,Guayama,PR,"May 1, 2010","August 26, 2022"
Amigo,3668,Avenida Los Filtros esq. Santa Ana,Guaynabo,PR,"May 1, 2010",July 2018
Amigo,3690,Plaza Guaynabo Shopping Center,Guaynabo,PR,"May 1, 2010","August 26, 2022"
Discount Store,1854,Plaza del Norte,Hatillo,PR,"October 24, 1992","October 6, 2015"
Supercenter,1854,Plaza del Mar,Hatillo,PR,"October 7, 2015",
Amigo,5484,Carretera 2 Km 87.7 Buzon 170 ,Hatillo,PR,"May 1, 2010",October 2018
Discount Store,2240,Plaza Palma Real,Humacao,PR,"February 23, 1995",2011
Supercenter,2240,Plaza Palma Real,Humacao,PR,2011,
Discount Store,2085,"Plaza Isabela, 3535 Avenida Militar",Isabela,PR,"May 3, 1994",
Amigo,3687,Carretera Pr 31 Km 24,Juncos,PR,"May 1, 2010","August 26, 2022"
Amigo,3665,Centro Comercial Central Plaza,Las Lomas,PR,"May 1, 2010",January 2013
Amigo,3683,Las Cumbres esq. Gran Bulevar,Los Paseos,PR,"May 1, 2010","August 26, 2022"
Amigo,3682,Calle 2 Urb. Brisas Del Mar,Luquillo,PR,"May 1, 2010","August 26, 2022"
Supercenter,3716,Plaza Monte Real,Manati,PR,"February 27, 2003",
Discount Store,2067,"Mayagüez Mall, 975 Avenida Hostos",Mayagüez,PR,"February 15, 1994",
Amigo,3673,Centro Comercial Los Hermanos,Naranjito,PR,"May 1, 2010",January 2011
Discount Store,2026,2188 Avenida Eduardo Ruberte,Ponce,PR,"November 14, 1997",2008
Supercenter,2026,3305 Avenida Baramaya,Ponce,PR,2008,
Supercenter,5793,333 Carretera 14,Ponce,PR,"November 11, 2003",
Amigo,3689,Centro Comercial Rio Grande State,Río Grande,PR,"May 1, 2010","January 28, 2016"
Amigo,3672,Centro Comercial Cupey,Río Piedras,PR,"May 1, 2010",October 2018
Amigo,3684,Carr 180 KM 0 HM 2,Salinas,PR,"May 1, 2010","January 28, 2016"
Amigo,3671,Centro Comercial Caparra Terrace,San Juan,PR,"May 1, 2010",October 2018
Supercenter,5803,701 Avenida Roberto H Todd,San Juan,PR,"February 27, 2013",
Amigo,3694,Carretera Estatal 183,San Lorenzo,PR,"May 1, 2010","August 26, 2022"
Supercenter,3693,Carretera Estatal 153 Km 7.2,Santa Isabel,PR,"October 20, 2004",
Amigo,3697,Carretera 165 Km 4.7,Toa Alta,PR,"May 1, 2010","January 28, 2016"
Supercenter,2346,Carretera 2 Sector La Virgencita Inter,Toa Baja,PR,"November 1, 2012",
Amigo,3670,Avenida Los Dominicos esq. Sabana Seca,Toa Baja,PR,"May 1, 2010","August 26, 2022"
Amigo,3666,Centro Comercial C. Universitaria,Trujillo Alto,PR,"May 1, 2010",October 2014
Super Ahorros,2347,Barrio Salto Arriba,Utuado,PR,"May 1, 2010","January 28, 2016"
Amigo,3679,Centro Comercial Plaza Caribe,Vega Alta,PR,"May 1, 2010",January 2013
Super Ahorros,2343,7B Calle Munoz Rivera,Villalba,PR,"May 1, 2010","January 28, 2016"
Discount Store,2283,1173 Tiogue Avenue,Coventry,RI,"July 25, 1995","October 17, 2006"
Supercenter,2283,650 Centre of New England Boulevard,Coventry,RI,"October 18, 2006",
Discount Store,1873,1776 Plainfield Pike,Cranston,RI,"August 31, 1993","November 15, 2011"
Supercenter,1873,1776 Plainfield Pike,Cranston,RI,"November 16, 2011",
Discount Store,2885,199 Connell Highway,Newport,RI,"January 26, 2000",
Discount Store,2261,1031 Ten Rod Road,North Kingstown,RI,"June 18, 1997","October 25, 2012"
Supercenter,2261,1031 Ten Rod Road,North Kingstown,RI,"October 26, 2012",
Supercenter,2225,7 Dowling Village Boulevard,North Smithfield,RI,"September 14, 2011",
Discount Store,3301,51 Silver Spring Street,Providence,RI,"January 22, 2007",
Discount Store,2373,840 Post Road,Warwick,RI,"June 26, 1996",
Discount Store,2747,650 Bald Hill Road,Warwick,RI,"January 23, 2002",
Discount Store,1964,258 Post Road,Westerly,RI,"May 29, 1993","October 28, 2003"
Supercenter,1964,258 Post Road,Westerly,RI,"October 29, 2003",
Discount Store,2225,1919 Diamond Hill Road,Woonsocket,RI,"October 18, 1994","September 13, 2011"
Discount Store,,"Mitchell Shopping Center, 1539 Whiskey Road South",Aiken,SC,"July 4, 1981","October 24, 1982"
Discount Store,514,1785 Whiskey Road South,Aiken,SC,"October 25, 1982","October 24, 1995"
Supercenter,514,2035 Whiskey Road,Aiken,SC,"October 25, 1995",
Supercenter,4487,3581 Richland Avenue West,Aiken,SC,"October 24, 2007",
Discount Store,396,3223 Anderson Mall Road,Anderson,SC,"March 6, 1984","October 19, 1993"
Discount Store,396,3812 Liberty Highway,Anderson,SC,"October 20, 1993","October 14, 1997"
Supercenter,396,3812 Liberty Highway,Anderson,SC,"October 15, 1997",
Discount Store,644,"Lakeside Shopping Center, 302 Pearman Dairy Road",Anderson,SC,"July 4, 1981","February 13, 1990"
Discount Store,644,"Crossroads Plaza, 408 Highway 28 Bypass",Anderson,SC,"February 14, 1990","January 26, 1999"
Supercenter,644,651 Highway 28 Bypass,Anderson,SC,"January 27, 1999",
Neighborhood Market,4443,2003 East Greenville Street,Anderson,SC,"May 6, 2015",
Discount Store,795,1019 East Dunbarton Boulevard,Barnwell,SC,"May 14, 1985",May 1997
Supercenter,795,11391 Dunbarton Boulevard,Barnwell,SC,May 1997,
Discount Store,1383,250 Robert Smalls Parkway,Beaufort,SC,"November 16, 1989","January 25, 2000"
Supercenter,1383,350 Robert Smalls Parkway,Beaufort,SC,"January 26, 2000",
Supercenter,7181,265 Sea Island Parkway,Beaufort,SC,"May 17, 2017",
Supercenter,4457,1250 Highway 9,Bennettsville,SC,"August 15, 2012",
Supercenter,6395,4 Bluffton Road,Bluffton,SC,"January 25, 2017",
Supercenter,2806,4000 Highway,Boiling Springs,SC,"October 13, 1999",
Discount Store,634,2520 Broad Street,Camden,SC,"July 4, 1981","August 17, 1999"
Supercenter,634,2240 West DeKalb Street,Camden,SC,"August 18, 1999",
Neighborhood Market,5378,1355 Knox Abbott Drive,Cayce,SC,"June 29, 2016",
Discount Store,1748,2245 Ashley Crossing Drive,Charleston,SC,"November 5, 1991","March 21, 2006"
Supercenter,1748,3951 West Ashley Circle,Charleston,SC,"March 22, 2006",
Discount Store,2348,1231 Folly Road,Charleston,SC,"May 2, 1995","August 28, 2012"
Supercenter,2348,1231 Folly Road,Charleston,SC,"August 29, 2012",
Discount Store,642,"Chesterfield Square, 321 Chesterfield Highway",Cheraw,SC,"July 4, 1981",1990
Discount Store,642,801 Chesterfield Highway,Cheraw,SC,1990,"August 2, 2007"
Supercenter,642,1040 Chesterfield Highway,Cheraw,SC,"August 3, 2007",
Discount Store,1603,1841 J.A. Cochran Bypass,Chester,SC,"December 31, 1990","October 25, 2012"
Supercenter,1603,1691 J.A. Cochran Bypass,Chester,SC,"October 26, 2012",
Supercenter,3222,1286 Eighteen Mile Road,Clemson,SC,"August 25, 2004",
Neighborhood Market,4445,680 Old Greenville Highway,Clemson,SC,"January 28, 2015",
Discount Store,1164,275 Harbison Boulevard,Columbia,SC,"May 3, 1988","October 24, 1995"
Supercenter,1164,360 Harbison Boulevard,Columbia,SC,"October 25, 1995",
Discount Store,1286,"East Pointe Plaza, 7501 Garners Ferry Road",Columbia,SC,"February 2, 1989","July 20, 2004"
Supercenter,1286,7520 Garners Ferry Road,Columbia,SC,"July 21, 2004",
Discount Store,1339,9710 Two Notch Road,Columbia,SC,"June 29, 1989","October 24, 2000"
Supercenter,1339,10060 Two Notch Road,Columbia,SC,"October 25, 2000",
Supercenter,2214,5420 Forest Drive,Columbia,SC,"October 11, 1995",
Supercenter,4379,1326 Bush River Road,Columbia,SC,"May 9, 2007","February 5, 2021"
Supercenter,4506,321 Killian Road,Columbia,SC,"March 7, 2008",
Neighborhood Market,5291,1019 Old Barnwell Road,Columbia,SC,"August 17, 2016",
Neighborhood Market,5318,3603 Broad River Road,Columbia,SC,"January 27, 2016","March 29, 2019"
Discount Store,586,2300 Church Street,Conway,SC,"June 2, 1988","February 10, 1998"
Supercenter,586,2709 Church Street,Conway,SC,"February 11, 1998",
Supercenter,4664,151 Myrtle Ridge Drive,Conway,SC,"June 17, 2009",
Supercenter,7188,251 Andover Place,Darlington,SC,"May 11, 2016",
Discount Store,627,"Dillon Plaza, 216 Radford Boulevard",Dillon,SC,"July 4, 1981","August 17, 1992"
Discount Store,627,536 Radford Boulevard,Dillon,SC,"August 18, 1992","March 4, 2008"
Supercenter,627,805 Enterprise Road,Dillon,SC,"March 5, 2008",
Discount Store,631,"Foothills Mall, 123 Easley Bypass",Easley,SC,"July 4, 1981","July 21, 1992"
Discount Store,631,"Rockville Centre, 1023 South Pendleton Street",Easley,SC,"July 22, 1992","April 12, 2011"
Supercenter,631,115 Rolling Hills Circle,Easley,SC,"April 13, 2011",
Discount Store,630,1558 West Evans Street,Florence,SC,"March 1, 1982","October 13, 1987"
Discount Store,630,2530 David H. McLeod Boulevard,Florence,SC,"October 14, 1987","October 28, 2008"
Supercenter,630,230 North Beltline Drive,Florence,SC,"October 29, 2008",
Supercenter,2703,2014 South Irby Street,Florence,SC,"January 27, 1999",
Neighborhood Market,3638,804 South Cashua Drive,Florence,SC,"January 21, 2015",
Neighborhood Market,3359,500 North Doby's Bridge Road,Fort Mill,SC,"April 13, 2016",
Discount Store,638,"Cherokee Plaza, 1329 West Floyd Baker Boulevard",Gaffney,SC,"July 4, 1981","July 17, 1990"
Discount Store,638,"Peachtree Marketplace, 1538 West Floyd Baker Boulevard",Gaffney,SC,"July 18, 1990","July 18, 2000"
Supercenter,638,165 Walton Drive,Gaffney,SC,"July 19, 2000",
Supercenter,5705,545 Garden City Connector,Garden City Beach,SC,"October 13, 2010",
Discount Store,625,1245 North Fraser Street,Georgetown,SC,"July 4, 1981",February 1989
Discount Store,625,1295 North Fraser Street,Georgetown,SC,February 1989,"July 9, 1996"
Supercenter,625,1310 North Fraser Street,Georgetown,SC,"July 10, 1996",
Supercenter,2928,605 St. James Avenue,Goose Creek,SC,"October 11, 2000",
Neighborhood Market,3646,1635 Red Bank Road,Goose Creek,SC,"June 3, 2015",
Neighborhood Market,3899,215 St. James Avenue,Goose Creek,SC,"June 24, 2015",
Neighborhood Market,,St. James and Highway 176,Goose Creek,SC,2025,
Neighborhood Market,1250,9032 Highway 14,Gray Court,SC,"January 28, 2015","January 28, 2016"
Discount Store,640,"North Hills Shopping Center, 2435 East North Street",Greenville,SC,"July 4, 1981","April 15, 1986"
Discount Store,640,"Marketplace Shopping Center, 2429 Laurens Road",Greenville,SC,"April 16, 1986","February 10, 1998"
Supercenter,640,1451 Woodruff Road,Greenville,SC,"February 11, 1998",
Discount Store,641,"West Town Shopping Center, 7 Farrs Bridge Road",Greenville,SC,"July 4, 1981",October 1986
Discount Store,641,"White Horse Plaza, 6119 White Horse Road",Greenville,SC,October 1986,"January 26, 1999"
Supercenter,641,6134 White Horse Road,Greenville,SC,"January 27, 1999",
Discount Store,1244,3027 Wade Hampton Boulevard,Greenville,SC,"November 1, 1988","April 20, 2004"
Supercenter,1244,3027 Wade Hampton Boulevard,Greenville,SC,"April 21, 2004",
Neighborhood Market,2328,2014 Wade Hampton Boulevard,Greenville,SC,"September 26, 2013",
Supercenter,3192,11410 Anderson Road,Greenville,SC,"March 13, 2013",
Neighborhood Market,4452,5009 Old Buncombe Road,Greenville,SC,"January 28, 2015",
Supercenter,4583,3925 Pelham Road,Greenville,SC,"October 29, 2008",
Discount Store,1382,"Piedmont Plaza, 1306 Bypass 72 Northeast",Greenwood,SC,"October 2, 1989","October 15, 1996"
Supercenter,1382,508 Bypass 72 Northwest,Greenwood,SC,"October 16, 1996",
Supercenter,6887,300 Bypass 25 Northeast,Greenwood,SC,"July 1, 2015",
Supercenter,2687,14055 East Wade Hampton Boulevard,Greer,SC,"September 16, 1998",
Neighborhood Market,4145,805 West Wade Hampton Boulevard,Greer,SC,"February 20, 2013",
Supercenter,2832,4400 Highway 278,Hardeeville,SC,"May 17, 2000",
Discount Store,1135,1111 South 5th Street,Hartsville,SC,"March 1, 1988","March 13, 2001"
Supercenter,1135,1150 South 4th Street,Hartsville,SC,"March 14, 2001",
Discount Store,728,"Port Royal Plaza, 95 Mathews Drive",Hilton Head Island,SC,"January 22, 1985","September 14, 1993"
Discount Store,728,25 Pembroke Drive,Hilton Head Island,SC,"September 15, 1993","June 12, 2012"
Supercenter,728,25 Pembroke Drive,Hilton Head Island,SC,"June 13, 2012",
Supercenter,4237,10048 Charlotte Highway,Indian Land,SC,"August 18, 2010",
Supercenter,4440,1180 Dutch Fork Road,Irmo,SC,"August 19, 2009",
Neighborhood Market,3713,3685 Ladson Road,Ladson,SC,"August 12, 2015",
Discount Store,621,208 West Main Street,Lake City,SC,"July 4, 1981",1992
Discount Store,621,230 Kelley Street,Lake City,SC,1992,"September 13, 2011"
Supercenter,621,900 US Highway 52,Lake City,SC,"September 14, 2011",
Supercenter,5745,175 Highway 274,Lake Wylie,SC,"September 15, 2010",
Discount Store,1030,1204 Highway 9 Bypass West,Lancaster,SC,"March 3, 1987","September 14, 1999"
Supercenter,1030,805 Highway 9 Bypass West,Lancaster,SC,"September 15, 1999",
Discount Store,1130,917 East Main Street,Laurens,SC,"February 2, 1988","March 17, 2009"
Supercenter,1130,922 East Main Street,Laurens,SC,"March 18, 2009",
Supercenter,4420,115 East Church Street,Leesville,SC,"May 9, 2007",
Discount Store,881,918 Lake Drive North,Lexington,SC,"November 12, 1985","May 20, 1997"
Supercenter,881,5556 Sunset Boulevard,Lexington,SC,"May 21, 1997",
Supercenter,4521,1780 South Lake Drive,Lexington,SC,"September 19, 2007",
Discount Store,1017,481 West Boyce Street,Manning,SC,"March 3, 1987","January 18, 2007"
Supercenter,1017,2010 Paxville Highway,Manning,SC,"January 19, 2007",
Discount Store,1829,2523 East Highway 76,Marion,SC,"June 30, 1992","October 23, 2007"
Supercenter,1829,305 Commerce Drive,Marion,SC,"October 24, 2007",
Discount Store,1146,110 Highway 52 South,Moncks Corner,SC,"June 30, 1988","October 25, 2005"
Supercenter,1146,511 North Highway 52,Moncks Corner,SC,"October 26, 2005",
Discount Store,632,"East Cooper Plaza, 627 Johnnie Dodds Boulevard",Mount Pleasant,SC,"July 13, 1982",1993
Discount Store,632,1481 US Highway 17 North,Mount Pleasant,SC,1993,November 2009
Supercenter,632,1481 US Highway 17 North,Mount Pleasant,SC,November 2009,
Supercenter,4384,3000 Proprietors Place,Mount Pleasant,SC,"September 19, 2007",
Neighborhood Market,3442,11980 Highway 17 Bypass,Murrells Inlet,SC,"March 16, 2016",
Discount Store,643,"Village Square Shopping Center, 3901 North Kings Highway",Myrtle Beach,SC,"July 4, 1981","May 1, 1989"
Discount Store,643,7601 North Kings Highway,Myrtle Beach,SC,"May 2, 1989","July 14, 1998"
Supercenter,643,10820 North Kings Highway,Myrtle Beach,SC,"July 15, 1998",
Supercenter,2712,541 Seaboard Street,Myrtle Beach,SC,"January 26, 2000",
Neighborhood Market,2870,3915 North Kings Highway,Myrtle Beach,SC,"July 13, 2016",
Neighborhood Market,2887,125 Mayport Drive,Myrtle Beach,SC,"May 14, 2014",
Neighborhood Market,5367,1705 South Kings Highway,Myrtle Beach,SC,"March 22, 2017",
Neighborhood Market,5923,3650 Walton Heath Drive,Myrtle Beach,SC,"May 25, 2016",
Discount Store,624,1244 Wilson Road,Newberry,SC,"July 4, 1981","September 15, 1987"
Discount Store,624,"Newberry Square, 1910 Wilson Road",Newberry,SC,"September 16, 1987","July 18, 2000"
Supercenter,624,2812 Main Street,Newberry,SC,"July 19, 2000",
Discount Store,1270,179 Edgewood Drive,North Augusta,SC,"November 1, 1988","March 18, 2003"
Supercenter,1270,1201 Knox Avenue,North Augusta,SC,"March 19, 2003",
Supercenter,6576,1041 Edgefield Road,North Augusta,SC,"October 22, 2014",
Discount Store,1359,7400 Rivers Avenue,North Charleston,SC,"August 31, 1989","October 8, 2002"
Supercenter,1359,7400 Rivers Avenue,North Charleston,SC,"October 9, 2002",
Supercenter,3367,4920 Centre Pointe Drive,North Charleston,SC,"May 18, 2005",
Supercenter,5087,550 Highway 17 North,North Myrtle Beach,SC,"January 21, 2004",
Discount Store,,"Orangeburg Shopping Center, 159 Broughton Street Northwest",Orangeburg,SC,"July 4, 1981",June 1982
Discount Store,616,"Prince of Orange Mall, 2390 Chestnut Street",Orangeburg,SC,"August 31, 1984","July 19, 1994"
Discount Store,616,"North Road Plaza, 2795 North Road Northwest",Orangeburg,SC,"July 20, 1994","April 22, 1997"
Supercenter,616,"North Road Plaza, 2795 North Road Northwest",Orangeburg,SC,"April 23, 1997",
Neighborhood Market,3724,332 Stonewall Jackson Boulevard,Orangeburg,SC,"January 28, 2015",
Neighborhood Market,3798,7013 South Pine Street,Pacolet,SC,"January 14, 2015","January 17, 2016"
Supercenter,3191,2637 Gentry Memorial Highway,Pickens,SC,"April 10, 2013",
Discount Store,585,"York Plaza, 2349 Cherry Road",Rock Hill,SC,"January 28, 1984","October 22, 1991"
Discount Store,585,2377 Dave Lyle Boulevard,Rock Hill,SC,"October 23, 1991","October 9, 2001"
Supercenter,585,2377 Dave Lyle Boulevard,Rock Hill,SC,"October 10, 2001",
Supercenter,4593,4875 Old York Road,Rock Hill,SC,"August 19, 2009",
Neighborhood Market,6962,1225 Cherry Road,Rock Hill,SC,"January 28, 2015",
Discount Store,1123,367 Market Street,Seneca,SC,"November 3, 1987","May 14, 2002"
Supercenter,1123,1636 Sandifer Boulevard,Seneca,SC,"May 15, 2002",
Discount Store,2265,3950 Grandview Drive,Simpsonville,SC,"January 3, 1995","August 12, 1997"
Supercenter,2265,3950 Grandview Drive,Simpsonville,SC,"August 13, 1997",
Neighborhood Market,3628,115 Highway 14,Simpsonville,SC,"January 14, 2015",
Neighborhood Market,5371,1401 West Georgia Road,Simpsonville,SC,"January 27, 2016",
Discount Store,1035,7600 Greenville Highway,Spartanburg,SC,"August 4, 1987","August 19, 2003"
Supercenter,1035,141 Dorman Centre Drive,Spartanburg,SC,"August 20, 2003",
Discount Store,1281,2081 East Main Street,Spartanburg,SC,"February 2, 1989","July 15, 2003"
Supercenter,1281,2151 East Main Street,Spartanburg,SC,"July 16, 2003",
Neighborhood Market,3338,203 Cedar Springs Road,Spartanburg,SC,"August 5, 2015",
Discount Store,628,680 Bacon's Bridge Road,Summerville,SC,"July 4, 1981",1992
Discount Store,628,9880 Dorchester Road,Summerville,SC,1992,July 2000
Supercenter,628,9880 Dorchester Road,Summerville,SC,July 2000,
Discount Store,1037,1317 North Main Street,Summerville,SC,"April 28, 1987","October 8, 2002"
Supercenter,1037,1317 North Main Street,Summerville,SC,"October 9, 2002",
Neighborhood Market,5279,1616 Central Avenue,Summerville,SC,"November 2, 2016",
Neighborhood Market,6174,10635 Dorchester Road,Summerville,SC,"August 5, 2015",
Neighborhood Market,377,343 Pinewood Road,Sumter,SC,"January 31, 2018",
Discount Store,,10 North Main Street,Sumter,SC,"July 4, 1981","January 25, 1983"
Discount Store,511,853 Broad Street,Sumter,SC,"January 26, 1983","May 20, 2003"
Supercenter,511,1283 Broad Street,Sumter,SC,"May 21, 2003",
Neighborhood Market,5383,615 North Bultman Drive,Sumter,SC,"November 11, 2015",
Discount Store,574,1870 North Kings Highway,Surfside Beach,SC,"June 29, 1984","August 20, 1996"
Supercenter,574,2751 Beaver Run Boulevard,Surfside Beach,SC,"August 21, 1996",
Supercenter,3733,1151 Stonecrest Boulevard,Tega Cay,SC,"March 7, 2008",
Supercenter,5487,9 Benton Road,Travelers Rest,SC,"January 23, 2006",
Discount Store,629,"Union Square, 719 North Duncan Bypass",Union,SC,"July 4, 1981",1990
Discount Store,629,"West Town Plaza, 441 North Duncan Bypass",Union,SC,1990,"March 17, 2009"
Supercenter,629,513 North Duncan Bypass,Union,SC,"March 18, 2009",
Discount Store,,226 Wichman Street,Walterboro,SC,"July 4, 1981",June 1982
Discount Store,1358,259 Bells Highway,Walterboro,SC,"June 29, 1989","October 25, 2005"
Supercenter,1358,2110 Bells Highway,Walterboro,SC,"October 26, 2005",
Discount Store,1183,"West Plaza Shopping Center, 2307 Augusta Road",West Columbia,SC,"March 1, 1988","March 14, 2000"
Supercenter,1183,2401 Augusta Road,West Columbia,SC,"March 15, 2000",
Supercenter,2606,"Midway Plaza, 721 US Highway 321 Bypass",Winnsboro,SC,"January 26, 1998","January 28, 2016"
Discount Store,1144,804 East Liberty Street,York,SC,"April 30, 1988","October 13, 1998"
Supercenter,1144,970 East Liberty Street,York,SC,"October 14, 1998",
Discount Store,1520,3315 6th Avenue Southeast,Aberdeen,SD,"October 1, 1990","September 19, 2006"
Supercenter,1520,3820 7th Avenue Southeast,Aberdeen,SD,"September 20, 2006",
Discount Store,1538,2421 6th Street,Brookings,SD,"October 29, 1990","October 26, 2004"
Supercenter,1538,2233 6th Street,Brookings,SD,"October 27, 2004",
Supercenter,3853,2791 Dakota Avenue South,Huron,SD,"July 19, 2006",
Supercenter,2990,1101 East Spruce Street,Mitchell,SD,"March 14, 2001",
Discount Store,1685,1600 North Harrison Avenue,Pierre,SD,"December 31, 1991","April 12, 2005"
Supercenter,1685,1730 North Garfield Road,Pierre,SD,"April 13, 2005",
Discount Store,1604,1020 North Lacrosse Street,Rapid City,SD,"January 30, 1991","May 23, 1995"
Discount Store,1604,1200 North Lacrosse Street,Rapid City,SD,"May 24, 1995","October 23, 2001"
Supercenter,1604,1200 North Lacrosse Street,Rapid City,SD,"October 24, 2001",
Supercenter,3872,100 Stumer Road,Rapid City,SD,"September 12, 2012",
Discount Store,1535,3209 South Louise Avenue,Sioux Falls,SD,"October 29, 1990","October 8, 2002"
Supercenter,1535,3209 South Louise Avenue,Sioux Falls,SD,"October 9, 2002",
Supercenter,2443,7821 South Minnesota Avenue,Sioux Falls,SD,"May 11, 2016",
Supercenter,3237,5521 East Arrowhead Parkway,Sioux Falls,SD,"October 16, 2002",
Supercenter,4865,5200 West 60th Street North,Sioux Falls,SD,"August 13, 2014",
Discount Store,1543,2125 North Main Street,Spearfish,SD,"October 1, 1990","April 12, 2005"
Supercenter,1543,2825 1st Avenue,Spearfish,SD,"April 13, 2005",
Supercenter,3734,1207 Princeton Street,Vermillion,SD,"January 27, 2006",
Discount Store,1500,1701 9th Avenue Southeast,Watertown,SD,"August 1, 1990","May 17, 2005"
Supercenter,1500,1201 29th Street Southeast,Watertown,SD,"May 18, 2005",
Discount Store,1483,2407 Broadway Avenue,Yankton,SD,"August 1, 1990","March 22, 2005"
Supercenter,1483,3001 Broadway Avenue,Yankton,SD,"March 23, 2005",
Discount Store,672,116 South Hall Road,Alcoa,TN,"July 4, 1981",1986
Supercenter,672,1030 Hunters Crossing Drive,Alcoa,TN,"June 19, 1996",
Discount Store,1226,354 Frey Street,Ashland City,TN,"November 17, 1988","April 13, 2004"
Supercenter,1226,1626 Route 12 South,Ashland City,TN,"April 14, 2004",
Discount Store,663,"Whiteway Shopping Center, 410 South White Street",Athens,TN,"July 4, 1981",1983
Discount Store,663,917 Decatur Pike,Athens,TN,1983,1993
Discount Store,663,1510 Congress Parkway South,Athens,TN,1993,"June 14, 2005"
Supercenter,663,1815 Decatur Pike,Athens,TN,"June 15, 2005",
Neighborhood Market,3599,6520 Memphis Arlington Road,Bartlett,TN,"October 9, 2002",
Discount Store,466,1361 West Market Street,Bolivar,TN,"November 16, 1982","October 29, 2002"
Supercenter,466,1604 West Market Street,Bolivar,TN,"October 30, 2002",
Discount Store,620,2536 West State Street,Bristol,TN,"November 13, 1984","October 28, 2003"
Supercenter,620,220 Century Boulevard,Bristol,TN,"October 29, 2003",
Discount Store,64,"Bradford Square Shopping Center, 337 East Main Street",Brownsville,TN,February 1973,1990
Discount Store,64,100 South Dupree Street,Brownsville,TN,1990,"May 16, 2006"
Supercenter,64,1100 South Dupree Street,Brownsville,TN,"May 17, 2006",
Discount Store,738,"Benton Shopping Center, 141 Highway 641 North",Camden,TN,"July 4, 1981",1991
Discount Store,738,190 Highway 641 North,Camden,TN,1991,"May 16, 2006"
Supercenter,738,2200 Highway 641 North,Camden,TN,"May 17, 2006",
